2026-04-10 17:08:08 | DEBUG    | hf_rubert_baseline |   batch 2700 | loss 0.8864 | lr 2.27e-06 | GPU 2.87 GB
2026-04-10 17:08:13 | DEBUG    | hf_rubert_baseline |   batch 2750 | loss 0.7769 | lr 2.32e-06 | GPU 2.88 GB
2026-04-10 17:08:18 | DEBUG    | hf_rubert_baseline |   batch 2800 | loss 0.7093 | lr 2.37e-06 | GPU 2.87 GB
2026-04-10 17:08:23 | DEBUG    | hf_rubert_baseline |   batch 2850 | loss 0.9276 | lr 2.43e-06 | GPU 2.88 GB
2026-04-10 17:08:28 | DEBUG    | hf_rubert_baseline |   batch 2900 | loss 0.7823 | lr 2.48e-06 | GPU 2.88 GB
2026-04-10 17:08:32 | DEBUG    | hf_rubert_baseline |   batch 2950 | loss 1.3474 | lr 2.54e-06 | GPU 2.87 GB
2026-04-10 17:08:37 | DEBUG    | hf_rubert_baseline |   batch 3000 | loss 0.9897 | lr 2.60e-06 | GPU 2.88 GB
2026-04-10 17:08:42 | DEBUG    | hf_rubert_baseline |   batch 3050 | loss 0.8497 | lr 2.66e-06 | GPU 2.88 GB
2026-04-10 17:08:47 | DEBUG    | hf_rubert_baseline |   batch 3100 | loss 0.9484 | lr 2.72e-06 | GPU 2.88 GB
2026-04-10 17:08:51 | DEBUG    | hf_rubert_baseline |   batch 3150 | loss 1.2078 | lr 2.78e-06 | GPU 2.87 GB
2026-04-10 17:08:56 | DEBUG    | hf_rubert_baseline |   batch 3200 | loss 0.9174 | lr 2.84e-06 | GPU 2.88 GB
2026-04-10 17:09:01 | DEBUG    | hf_rubert_baseline |   batch 3250 | loss 0.7325 | lr 2.90e-06 | GPU 2.87 GB
2026-04-10 17:09:06 | DEBUG    | hf_rubert_baseline |   batch 3300 | loss 0.6817 | lr 2.96e-06 | GPU 2.87 GB
2026-04-10 17:09:11 | DEBUG    | hf_rubert_baseline |   batch 3350 | loss 1.0145 | lr 3.02e-06 | GPU 2.87 GB
2026-04-10 17:09:15 | DEBUG    | hf_rubert_baseline |   batch 3400 | loss 0.6931 | lr 3.09e-06 | GPU 2.88 GB
2026-04-10 17:09:20 | DEBUG    | hf_rubert_baseline |   batch 3450 | loss 0.9297 | lr 3.15e-06 | GPU 2.88 GB
2026-04-10 17:09:25 | DEBUG    | hf_rubert_baseline |   batch 3500 | loss 1.0910 | lr 3.22e-06 | GPU 2.88 GB
2026-04-10 17:09:30 | DEBUG    | hf_rubert_baseline |   batch 3550 | loss 0.8425 | lr 3.29e-06 | GPU 2.88 GB
2026-04-10 17:09:34 | DEBUG    | hf_rubert_baseline |   batch 3600 | loss 0.9953 | lr 3.35e-06 | GPU 2.88 GB
2026-04-10 17:09:39 | DEBUG    | hf_rubert_baseline |   batch 3650 | loss 1.1450 | lr 3.42e-06 | GPU 2.87 GB
2026-04-10 17:09:44 | DEBUG    | hf_rubert_baseline |   batch 3700 | loss 0.6957 | lr 3.49e-06 | GPU 2.87 GB
2026-04-10 17:09:49 | DEBUG    | hf_rubert_baseline |   batch 3750 | loss 0.6407 | lr 3.56e-06 | GPU 2.88 GB
2026-04-10 17:09:54 | DEBUG    | hf_rubert_baseline |   batch 3800 | loss 0.9694 | lr 3.63e-06 | GPU 2.88 GB
