2026-04-10 19:08:27 | INFO     | coda_base | Log file: C:\Users\Meric\Desktop\VKR\Code\results\logs\2026-04-10_19-08-27_coda_base.log
2026-04-10 19:08:27 | INFO     | coda_base | ============================================================
2026-04-10 19:08:27 | INFO     | coda_base | Training: CODA-BASE
2026-04-10 19:08:27 | INFO     | coda_base | Device: cuda | Seed: 42 | Dry run: False
2026-04-10 19:08:27 | INFO     | coda_base | Epochs: 30 | Batch: 16 | LR: 1.00e-04
2026-04-10 19:08:27 | INFO     | coda_base | Freeze BERT: True | Prosodic: True | AMP: True
2026-04-10 19:08:27 | INFO     | coda_base | ============================================================
2026-04-10 19:08:31 | INFO     | coda_base | Dataset: 179590 samples
2026-04-10 19:12:51 | DEBUG    | coda_base |   batch 2800 | loss 2.0516 | grad 1.5125 | lr 6.01e-06 | GPU 0.76 GB
2026-04-10 19:12:54 | DEBUG    | coda_base |   batch 2850 | loss 1.5778 | grad 1.5141 | lr 6.08e-06 | GPU 0.76 GB
2026-04-10 19:12:58 | DEBUG    | coda_base |   batch 2900 | loss 1.8261 | grad 1.5024 | lr 6.15e-06 | GPU 0.77 GB
2026-04-10 19:13:01 | DEBUG    | coda_base |   batch 2950 | loss 1.3610 | grad 1.5220 | lr 6.23e-06 | GPU 0.76 GB
2026-04-10 19:13:05 | DEBUG    | coda_base |   batch 3000 | loss 1.7364 | grad 1.5342 | lr 6.30e-06 | GPU 0.76 GB
2026-04-10 19:13:09 | DEBUG    | coda_base |   batch 3050 | loss 1.3570 | grad 1.5005 | lr 6.38e-06 | GPU 0.76 GB
2026-04-10 19:13:12 | DEBUG    | coda_base |   batch 3100 | loss 1.0178 | grad 1.4578 | lr 6.46e-06 | GPU 0.76 GB
2026-04-10 19:13:15 | DEBUG    | coda_base |   batch 3150 | loss 2.2046 | grad 1.4685 | lr 6.54e-06 | GPU 0.77 GB
2026-04-10 19:13:19 | DEBUG    | coda_base |   batch 3200 | loss 1.4535 | grad 1.5372 | lr 6.62e-06 | GPU 0.76 GB
2026-04-10 19:13:23 | DEBUG    | coda_base |   batch 3250 | loss 1.5658 | grad 1.4846 | lr 6.70e-06 | GPU 0.76 GB
2026-04-10 19:13:26 | DEBUG    | coda_base |   batch 3300 | loss 1.6924 | grad 1.4891 | lr 6.78e-06 | GPU 0.76 GB
2026-04-10 19:13:30 | DEBUG    | coda_base |   batch 3350 | loss 1.4129 | grad 1.5025 | lr 6.87e-06 | GPU 0.76 GB
2026-04-10 19:13:33 | DEBUG    | coda_base |   batch 3400 | loss 0.9145 | grad 1.4824 | lr 6.95e-06 | GPU 0.76 GB
2026-04-10 19:13:37 | DEBUG    | coda_base |   batch 3450 | loss 1.2320 | grad 1.4826 | lr 7.04e-06 | GPU 0.76 GB
2026-04-10 19:13:40 | DEBUG    | coda_base |   batch 3500 | loss 1.2614 | grad 1.4826 | lr 7.12e-06 | GPU 0.75 GB
2026-04-10 19:13:44 | DEBUG    | coda_base |   batch 3550 | loss 1.5919 | grad 1.4831 | lr 7.21e-06 | GPU 0.76 GB
2026-04-10 19:13:47 | DEBUG    | coda_base |   batch 3600 | loss 1.4513 | grad 1.5049 | lr 7.30e-06 | GPU 0.77 GB
2026-04-10 19:13:51 | DEBUG    | coda_base |   batch 3650 | loss 1.3015 | grad 1.4944 | lr 7.40e-06 | GPU 0.76 GB
2026-04-10 19:13:55 | DEBUG    | coda_base |   batch 3700 | loss 1.8805 | grad 1.4667 | lr 7.49e-06 | GPU 0.76 GB
2026-04-10 19:13:58 | DEBUG    | coda_base |   batch 3750 | loss 1.2990 | grad 1.5130 | lr 7.58e-06 | GPU 0.76 GB
2026-04-10 19:14:02 | DEBUG    | coda_base |   batch 3800 | loss 1.3342 | grad 1.5222 | lr 7.68e-06 | GPU 0.76 GB
2026-04-10 19:14:06 | DEBUG    | coda_base |   batch 3850 | loss 1.4096 | grad 1.5039 | lr 7.77e-06 | GPU 0.76 GB
2026-04-10 19:14:09 | DEBUG    | coda_base |   batch 3900 | loss 1.3662 | grad 1.4997 | lr 7.87e-06 | GPU 0.76 GB
2026-04-10 19:14:12 | DEBUG    | coda_base |   batch 3950 | loss 1.3011 | grad 1.4909 | lr 7.97e-06 | GPU 0.76 GB
2026-04-10 19:14:16 | DEBUG    | coda_base |   batch 4000 | loss 1.2478 | grad 1.4704 | lr 8.07e-06 | GPU 0.76 GB
2026-04-10 19:14:20 | DEBUG    | coda_base |   batch 4050 | loss 1.2996 | grad 1.5106 | lr 8.17e-06 | GPU 0.76 GB
2026-04-10 19:14:23 | DEBUG    | coda_base |   batch 4100 | loss 1.0783 | grad 1.5107 | lr 8.27e-06 | GPU 0.76 GB
2026-04-10 19:14:26 | DEBUG    | coda_base |   batch 4150 | loss 1.6668 | grad 1.5276 | lr 8.37e-06 | GPU 0.76 GB
2026-04-10 19:14:30 | DEBUG    | coda_base |   batch 4200 | loss 1.3115 | grad 1.4723 | lr 8.48e-06 | GPU 0.76 GB
2026-04-10 19:14:34 | DEBUG    | coda_base |   batch 4250 | loss 1.4579 | grad 1.5283 | lr 8.58e-06 | GPU 0.76 GB
2026-04-10 19:14:37 | DEBUG    | coda_base |   batch 4300 | loss 1.4057 | grad 1.4726 | lr 8.69e-06 | GPU 0.76 GB
2026-04-10 19:14:41 | DEBUG    | coda_base |   batch 4350 | loss 0.9675 | grad 1.4882 | lr 8.80e-06 | GPU 0.76 GB
2026-04-10 19:14:44 | DEBUG    | coda_base |   batch 4400 | loss 1.0542 | grad 1.5225 | lr 8.91e-06 | GPU 0.77 GB
2026-04-10 19:14:48 | DEBUG    | coda_base |   batch 4450 | loss 0.9744 | grad 1.4875 | lr 9.02e-06 | GPU 0.76 GB
2026-04-10 19:14:51 | DEBUG    | coda_base |   batch 4500 | loss 1.2527 | grad 1.4916 | lr 9.13e-06 | GPU 0.76 GB
2026-04-10 19:14:55 | DEBUG    | coda_base |   batch 4550 | loss 1.3056 | grad 1.5245 | lr 9.24e-06 | GPU 0.76 GB
2026-04-10 19:14:58 | DEBUG    | coda_base |   batch 4600 | loss 0.7695 | grad 1.5052 | lr 9.35e-06 | GPU 0.76 GB
2026-04-10 19:15:02 | DEBUG    | coda_base |   batch 4650 | loss 0.9825 | grad 1.5458 | lr 9.47e-06 | GPU 0.76 GB
2026-04-10 19:15:05 | DEBUG    | coda_base |   batch 4700 | loss 1.7918 | grad 1.4774 | lr 9.59e-06 | GPU 0.76 GB
2026-04-10 19:15:09 | DEBUG    | coda_base |   batch 4750 | loss 1.2518 | grad 1.4491 | lr 9.70e-06 | GPU 0.76 GB
2026-04-10 19:15:12 | DEBUG    | coda_base |   batch 4800 | loss 0.8900 | grad 1.4704 | lr 9.82e-06 | GPU 0.76 GB
2026-04-10 19:15:16 | DEBUG    | coda_base |   batch 4850 | loss 1.1150 | grad 1.4768 | lr 9.94e-06 | GPU 0.77 GB
2026-04-10 19:15:19 | DEBUG    | coda_base |   batch 4900 | loss 0.9651 | grad 1.5239 | lr 1.01e-05 | GPU 0.76 GB
2026-04-10 19:15:23 | DEBUG    | coda_base |   batch 4950 | loss 1.1781 | grad 1.4955 | lr 1.02e-05 | GPU 0.76 GB
2026-04-10 19:15:26 | DEBUG    | coda_base |   batch 5000 | loss 1.7252 | grad 1.4510 | lr 1.03e-05 | GPU 0.76 GB
2026-04-10 19:15:30 | DEBUG    | coda_base |   batch 5050 | loss 1.0323 | grad 1.4508 | lr 1.04e-05 | GPU 0.76 GB
2026-04-10 19:15:33 | DEBUG    | coda_base |   batch 5100 | loss 1.1639 | grad 1.4457 | lr 1.06e-05 | GPU 0.76 GB
2026-04-10 19:15:37 | DEBUG    | coda_base |   batch 5150 | loss 0.8453 | grad 1.4686 | lr 1.07e-05 | GPU 0.76 GB
2026-04-10 19:15:40 | DEBUG    | coda_base |   batch 5200 | loss 1.1946 | grad 1.4861 | lr 1.08e-05 | GPU 0.76 GB
2026-04-10 19:15:44 | DEBUG    | coda_base |   batch 5250 | loss 1.1842 | grad 1.4793 | lr 1.09e-05 | GPU 0.76 GB
2026-04-10 19:15:48 | DEBUG    | coda_base |   batch 5300 | loss 0.9136 | grad 1.4884 | lr 1.11e-05 | GPU 0.76 GB
2026-04-10 19:15:51 | DEBUG    | coda_base |   batch 5350 | loss 1.1967 | grad 1.4301 | lr 1.12e-05 | GPU 0.77 GB
2026-04-10 19:15:55 | DEBUG    | coda_base |   batch 5400 | loss 1.3091 | grad 1.4834 | lr 1.13e-05 | GPU 0.76 GB
2026-04-10 19:15:59 | DEBUG    | coda_base |   batch 5450 | loss 0.9267 | grad 1.4487 | lr 1.15e-05 | GPU 0.76 GB
2026-04-10 19:16:02 | DEBUG    | coda_base |   batch 5500 | loss 0.8473 | grad 1.4607 | lr 1.16e-05 | GPU 0.76 GB
2026-04-10 19:16:05 | DEBUG    | coda_base |   batch 5550 | loss 1.0397 | grad 1.5006 | lr 1.17e-05 | GPU 0.76 GB
2026-04-10 19:16:09 | DEBUG    | coda_base |   batch 5600 | loss 1.2281 | grad 1.4527 | lr 1.19e-05 | GPU 0.77 GB
2026-04-10 19:16:13 | DEBUG    | coda_base |   batch 5650 | loss 1.0889 | grad 1.4740 | lr 1.20e-05 | GPU 0.76 GB
2026-04-10 19:16:16 | DEBUG    | coda_base |   batch 5700 | loss 0.6934 | grad 1.4427 | lr 1.21e-05 | GPU 0.76 GB
2026-04-10 19:16:20 | DEBUG    | coda_base |   batch 5750 | loss 0.8410 | grad 1.4324 | lr 1.23e-05 | GPU 0.76 GB
2026-04-10 19:16:23 | DEBUG    | coda_base |   batch 5800 | loss 1.1397 | grad 1.4395 | lr 1.24e-05 | GPU 0.76 GB
2026-04-10 19:16:27 | DEBUG    | coda_base |   batch 5850 | loss 1.0735 | grad 1.4844 | lr 1.26e-05 | GPU 0.77 GB
2026-04-10 19:16:30 | DEBUG    | coda_base |   batch 5900 | loss 1.3904 | grad 1.4991 | lr 1.27e-05 | GPU 0.76 GB
2026-04-10 19:16:34 | DEBUG    | coda_base |   batch 5950 | loss 0.8281 | grad 1.4203 | lr 1.28e-05 | GPU 0.76 GB
2026-04-10 19:16:37 | DEBUG    | coda_base |   batch 6000 | loss 0.7641 | grad 1.5006 | lr 1.30e-05 | GPU 0.76 GB
2026-04-10 19:16:41 | DEBUG    | coda_base |   batch 6050 | loss 0.8672 | grad 1.4522 | lr 1.31e-05 | GPU 0.76 GB
2026-04-10 19:16:44 | DEBUG    | coda_base |   batch 6100 | loss 1.2012 | grad 1.4553 | lr 1.33e-05 | GPU 0.76 GB
2026-04-10 19:16:48 | DEBUG    | coda_base |   batch 6150 | loss 0.9671 | grad 1.4553 | lr 1.34e-05 | GPU 0.76 GB
2026-04-10 19:16:51 | DEBUG    | coda_base |   batch 6200 | loss 1.1039 | grad 1.4442 | lr 1.36e-05 | GPU 0.76 GB
2026-04-10 19:16:55 | DEBUG    | coda_base |   batch 6250 | loss 0.9727 | grad 1.4618 | lr 1.37e-05 | GPU 0.76 GB
2026-04-10 19:16:58 | DEBUG    | coda_base |   batch 6300 | loss 1.0621 | grad 1.4544 | lr 1.39e-05 | GPU 0.76 GB
2026-04-10 19:17:02 | DEBUG    | coda_base |   batch 6350 | loss 0.9534 | grad 1.4802 | lr 1.40e-05 | GPU 0.76 GB
2026-04-10 19:17:05 | DEBUG    | coda_base |   batch 6400 | loss 0.8425 | grad 1.4748 | lr 1.42e-05 | GPU 0.76 GB
2026-04-10 19:17:09 | DEBUG    | coda_base |   batch 6450 | loss 0.8261 | grad 1.4761 | lr 1.43e-05 | GPU 0.76 GB
2026-04-10 19:17:12 | DEBUG    | coda_base |   batch 6500 | loss 0.9548 | grad 1.4187 | lr 1.45e-05 | GPU 0.76 GB
2026-04-10 19:17:16 | DEBUG    | coda_base |   batch 6550 | loss 1.2007 | grad 1.4391 | lr 1.46e-05 | GPU 0.76 GB
2026-04-10 19:17:19 | DEBUG    | coda_base |   batch 6600 | loss 1.1675 | grad 1.4190 | lr 1.48e-05 | GPU 0.76 GB
2026-04-10 19:17:23 | DEBUG    | coda_base |   batch 6650 | loss 1.1191 | grad 1.4352 | lr 1.50e-05 | GPU 0.76 GB
2026-04-10 19:17:26 | DEBUG    | coda_base |   batch 6700 | loss 0.9653 | grad 1.4077 | lr 1.51e-05 | GPU 0.76 GB
2026-04-10 19:17:30 | DEBUG    | coda_base |   batch 6750 | loss 0.8500 | grad 1.4313 | lr 1.53e-05 | GPU 0.76 GB
2026-04-10 19:17:33 | DEBUG    | coda_base |   batch 6800 | loss 1.1494 | grad 1.4570 | lr 1.54e-05 | GPU 0.77 GB
2026-04-10 19:17:37 | DEBUG    | coda_base |   batch 6850 | loss 0.8541 | grad 1.4465 | lr 1.56e-05 | GPU 0.76 GB
2026-04-10 19:17:40 | DEBUG    | coda_base |   batch 6900 | loss 0.7134 | grad 1.4116 | lr 1.58e-05 | GPU 0.77 GB
2026-04-10 19:17:44 | DEBUG    | coda_base |   batch 6950 | loss 1.0361 | grad 1.4262 | lr 1.59e-05 | GPU 0.76 GB
2026-04-10 19:17:47 | DEBUG    | coda_base |   batch 7000 | loss 0.8625 | grad 1.4158 | lr 1.61e-05 | GPU 0.76 GB
2026-04-10 19:17:51 | DEBUG    | coda_base |   batch 7050 | loss 0.6273 | grad 1.4119 | lr 1.63e-05 | GPU 0.76 GB
2026-04-10 19:17:54 | DEBUG    | coda_base |   batch 7100 | loss 0.6705 | grad 1.4318 | lr 1.64e-05 | GPU 0.76 GB
2026-04-10 19:17:58 | DEBUG    | coda_base |   batch 7150 | loss 0.8542 | grad 1.4223 | lr 1.66e-05 | GPU 0.76 GB
2026-04-10 19:18:01 | DEBUG    | coda_base |   batch 7200 | loss 0.7999 | grad 1.4640 | lr 1.68e-05 | GPU 0.77 GB
2026-04-10 19:18:05 | DEBUG    | coda_base |   batch 7250 | loss 0.8300 | grad 1.4360 | lr 1.69e-05 | GPU 0.76 GB
2026-04-10 19:18:09 | DEBUG    | coda_base |   batch 7300 | loss 1.2594 | grad 1.4282 | lr 1.71e-05 | GPU 0.76 GB
2026-04-10 19:18:12 | DEBUG    | coda_base |   batch 7350 | loss 0.9664 | grad 1.4193 | lr 1.73e-05 | GPU 0.76 GB
2026-04-10 19:18:15 | DEBUG    | coda_base |   batch 7400 | loss 0.8593 | grad 1.4357 | lr 1.74e-05 | GPU 0.76 GB
2026-04-10 19:18:19 | DEBUG    | coda_base |   batch 7450 | loss 1.0111 | grad 1.3952 | lr 1.76e-05 | GPU 0.76 GB
2026-04-10 19:18:23 | DEBUG    | coda_base |   batch 7500 | loss 0.8826 | grad 1.4304 | lr 1.78e-05 | GPU 0.76 GB
2026-04-10 19:18:26 | DEBUG    | coda_base |   batch 7550 | loss 0.9468 | grad 1.4666 | lr 1.80e-05 | GPU 0.76 GB
2026-04-10 19:18:30 | DEBUG    | coda_base |   batch 7600 | loss 0.6276 | grad 1.4126 | lr 1.81e-05 | GPU 0.76 GB
2026-04-10 19:18:33 | DEBUG    | coda_base |   batch 7650 | loss 0.8904 | grad 1.3987 | lr 1.83e-05 | GPU 0.76 GB
2026-04-10 19:18:37 | DEBUG    | coda_base |   batch 7700 | loss 0.8317 | grad 1.4197 | lr 1.85e-05 | GPU 0.76 GB
2026-04-10 19:18:40 | DEBUG    | coda_base |   batch 7750 | loss 1.0948 | grad 1.4067 | lr 1.87e-05 | GPU 0.76 GB
2026-04-10 19:18:44 | DEBUG    | coda_base |   batch 7800 | loss 1.1086 | grad 1.3921 | lr 1.89e-05 | GPU 0.76 GB
2026-04-10 19:18:48 | DEBUG    | coda_base |   batch 7850 | loss 0.8905 | grad 1.4258 | lr 1.90e-05 | GPU 0.77 GB
2026-04-10 19:18:51 | DEBUG    | coda_base |   batch 7900 | loss 0.8591 | grad 1.4431 | lr 1.92e-05 | GPU 0.76 GB
2026-04-10 19:18:54 | DEBUG    | coda_base |   batch 7950 | loss 1.0163 | grad 1.4392 | lr 1.94e-05 | GPU 0.76 GB
2026-04-10 19:18:58 | DEBUG    | coda_base |   batch 8000 | loss 0.7361 | grad 1.4326 | lr 1.96e-05 | GPU 0.75 GB
2026-04-10 19:19:02 | DEBUG    | coda_base |   batch 8050 | loss 1.4129 | grad 1.5002 | lr 1.98e-05 | GPU 0.76 GB
2026-04-10 19:19:05 | DEBUG    | coda_base |   batch 8100 | loss 1.2408 | grad 1.3838 | lr 2.00e-05 | GPU 0.76 GB
2026-04-10 19:19:08 | DEBUG    | coda_base |   batch 8150 | loss 0.6323 | grad 1.4452 | lr 2.01e-05 | GPU 0.76 GB
2026-04-10 19:19:12 | DEBUG    | coda_base |   batch 8200 | loss 0.8102 | grad 1.4283 | lr 2.03e-05 | GPU 0.76 GB
2026-04-10 19:19:16 | DEBUG    | coda_base |   batch 8250 | loss 0.8497 | grad 1.4638 | lr 2.05e-05 | GPU 0.76 GB
2026-04-10 19:19:19 | DEBUG    | coda_base |   batch 8300 | loss 0.9836 | grad 1.3636 | lr 2.07e-05 | GPU 0.77 GB
2026-04-10 19:19:22 | DEBUG    | coda_base |   batch 8350 | loss 0.5731 | grad 1.4134 | lr 2.09e-05 | GPU 0.76 GB
2026-04-10 19:19:26 | DEBUG    | coda_base |   batch 8400 | loss 0.8995 | grad 1.4099 | lr 2.11e-05 | GPU 0.76 GB
2026-04-10 19:19:30 | DEBUG    | coda_base |   batch 8450 | loss 0.8660 | grad 1.4647 | lr 2.13e-05 | GPU 0.76 GB
2026-04-10 19:19:33 | DEBUG    | coda_base |   batch 8500 | loss 1.0834 | grad 1.4702 | lr 2.15e-05 | GPU 0.76 GB
2026-04-10 19:19:36 | DEBUG    | coda_base |   batch 8550 | loss 1.1348 | grad 1.4344 | lr 2.17e-05 | GPU 0.76 GB
2026-04-10 19:19:40 | DEBUG    | coda_base |   batch 8600 | loss 1.1086 | grad 1.4805 | lr 2.18e-05 | GPU 0.76 GB
2026-04-10 19:19:44 | DEBUG    | coda_base |   batch 8650 | loss 0.9990 | grad 1.4341 | lr 2.20e-05 | GPU 0.76 GB
