2026-04-10 02:33:32 | DEBUG    | hf_rubert_baseline |   batch 3800 | loss 0.8958 | lr 3.63e-06 | GPU 2.88 GB
2026-04-10 02:33:42 | DEBUG    | hf_rubert_baseline |   batch 3850 | loss 0.9511 | lr 3.70e-06 | GPU 2.87 GB
2026-04-10 02:33:54 | DEBUG    | hf_rubert_baseline |   batch 3900 | loss 0.9073 | lr 3.77e-06 | GPU 2.88 GB
2026-04-10 02:34:04 | DEBUG    | hf_rubert_baseline |   batch 3950 | loss 1.0421 | lr 3.84e-06 | GPU 2.88 GB
2026-04-10 02:34:21 | DEBUG    | hf_rubert_baseline |   batch 4000 | loss 0.9582 | lr 3.92e-06 | GPU 2.88 GB
2026-04-10 02:34:35 | DEBUG    | hf_rubert_baseline |   batch 4050 | loss 1.0625 | lr 3.99e-06 | GPU 2.88 GB
2026-04-10 02:34:50 | DEBUG    | hf_rubert_baseline |   batch 4100 | loss 0.7087 | lr 4.06e-06 | GPU 2.88 GB
2026-04-10 02:35:02 | DEBUG    | hf_rubert_baseline |   batch 4150 | loss 1.2164 | lr 4.14e-06 | GPU 2.87 GB
2026-04-10 02:35:17 | DEBUG    | hf_rubert_baseline |   batch 4200 | loss 0.8943 | lr 4.22e-06 | GPU 2.88 GB
2026-04-10 02:35:31 | DEBUG    | hf_rubert_baseline |   batch 4250 | loss 0.9102 | lr 4.29e-06 | GPU 2.87 GB
2026-04-10 02:35:46 | DEBUG    | hf_rubert_baseline |   batch 4300 | loss 1.2921 | lr 4.37e-06 | GPU 2.87 GB
2026-04-10 02:35:59 | DEBUG    | hf_rubert_baseline |   batch 4350 | loss 0.8241 | lr 4.45e-06 | GPU 2.88 GB
2026-04-10 02:36:18 | DEBUG    | hf_rubert_baseline |   batch 4400 | loss 0.9297 | lr 4.53e-06 | GPU 2.88 GB
2026-04-10 02:36:32 | DEBUG    | hf_rubert_baseline |   batch 4450 | loss 0.7129 | lr 4.60e-06 | GPU 2.88 GB
2026-04-10 02:36:46 | DEBUG    | hf_rubert_baseline |   batch 4500 | loss 0.9395 | lr 4.68e-06 | GPU 2.88 GB
2026-04-10 02:37:00 | DEBUG    | hf_rubert_baseline |   batch 4550 | loss 0.7734 | lr 4.76e-06 | GPU 2.88 GB
2026-04-10 02:37:14 | DEBUG    | hf_rubert_baseline |   batch 4600 | loss 0.6149 | lr 4.85e-06 | GPU 2.88 GB
2026-04-10 02:37:27 | DEBUG    | hf_rubert_baseline |   batch 4650 | loss 1.0053 | lr 4.93e-06 | GPU 2.88 GB
2026-04-10 02:37:38 | DEBUG    | hf_rubert_baseline |   batch 4700 | loss 1.2351 | lr 5.01e-06 | GPU 2.88 GB
2026-04-10 02:37:49 | DEBUG    | hf_rubert_baseline |   batch 4750 | loss 0.8554 | lr 5.09e-06 | GPU 2.87 GB
2026-04-10 02:37:59 | DEBUG    | hf_rubert_baseline |   batch 4800 | loss 0.7407 | lr 5.17e-06 | GPU 2.88 GB
2026-04-10 02:38:11 | DEBUG    | hf_rubert_baseline |   batch 4850 | loss 0.6069 | lr 5.26e-06 | GPU 2.88 GB
2026-04-10 02:38:26 | DEBUG    | hf_rubert_baseline |   batch 4900 | loss 1.1835 | lr 5.34e-06 | GPU 2.87 GB
2026-04-10 02:38:38 | DEBUG    | hf_rubert_baseline |   batch 4950 | loss 1.1208 | lr 5.43e-06 | GPU 2.88 GB
