2026-04-11 20:49:53 | INFO     | coda_biattn_context | Log file: C:\Users\Meric\Desktop\VKR\Code\results\logs\2026-04-11_20-49-53_coda_biattn_context.log
2026-04-11 20:49:53 | INFO     | coda_biattn_context | ============================================================
2026-04-11 20:49:53 | INFO     | coda_biattn_context | Training: CODA-BIATTN_CONTEXT
2026-04-11 20:49:53 | INFO     | coda_biattn_context | Device: cuda | Seed: 42 | Dry run: False
2026-04-11 20:49:53 | INFO     | coda_biattn_context | Epochs: 30 | Batch: 16 | LR: 1.00e-04
2026-04-11 20:49:53 | INFO     | coda_biattn_context | Freeze BERT: True | Prosodic: True | AMP: True
2026-04-11 20:49:53 | INFO     | coda_biattn_context | ============================================================
2026-04-11 20:49:57 | INFO     | coda_biattn_context | Dataset: 179590 samples
2026-04-11 21:13:38 | DEBUG    | coda_biattn_context |   batch 6000 | loss 0.9925 | grad 2.7870 | lr 1.32e-05 | GPU 0.80 GB
2026-04-11 21:13:46 | DEBUG    | coda_biattn_context |   batch 6050 | loss 1.3486 | grad 3.2869 | lr 1.34e-05 | GPU 0.80 GB
2026-04-11 21:13:53 | DEBUG    | coda_biattn_context |   batch 6100 | loss 0.8418 | grad 2.4482 | lr 1.35e-05 | GPU 0.80 GB
2026-04-11 21:14:02 | DEBUG    | coda_biattn_context |   batch 6150 | loss 0.5234 | grad 2.7241 | lr 1.37e-05 | GPU 0.80 GB
2026-04-11 21:14:09 | DEBUG    | coda_biattn_context |   batch 6200 | loss 0.9923 | grad 3.2006 | lr 1.38e-05 | GPU 0.80 GB
2026-04-11 21:14:17 | DEBUG    | coda_biattn_context |   batch 6250 | loss 0.9397 | grad 3.3401 | lr 1.40e-05 | GPU 0.81 GB
2026-04-11 21:14:25 | DEBUG    | coda_biattn_context |   batch 6300 | loss 0.8257 | grad 2.2377 | lr 1.41e-05 | GPU 0.80 GB
2026-04-11 21:14:33 | DEBUG    | coda_biattn_context |   batch 6350 | loss 0.7001 | grad 2.9939 | lr 1.43e-05 | GPU 0.80 GB
2026-04-11 21:14:41 | DEBUG    | coda_biattn_context |   batch 6400 | loss 1.4880 | grad 3.0857 | lr 1.44e-05 | GPU 0.80 GB
2026-04-11 21:14:49 | DEBUG    | coda_biattn_context |   batch 6450 | loss 1.5024 | grad 2.8513 | lr 1.46e-05 | GPU 0.80 GB
2026-04-11 21:14:57 | DEBUG    | coda_biattn_context |   batch 6500 | loss 0.9041 | grad 2.5718 | lr 1.48e-05 | GPU 0.80 GB
2026-04-11 21:15:05 | DEBUG    | coda_biattn_context |   batch 6550 | loss 0.9246 | grad 2.5764 | lr 1.49e-05 | GPU 0.80 GB
2026-04-11 21:15:13 | DEBUG    | coda_biattn_context |   batch 6600 | loss 0.9938 | grad 3.0003 | lr 1.51e-05 | GPU 0.80 GB
2026-04-11 21:15:21 | DEBUG    | coda_biattn_context |   batch 6650 | loss 0.9358 | grad 2.5791 | lr 1.52e-05 | GPU 0.80 GB
2026-04-11 21:15:29 | DEBUG    | coda_biattn_context |   batch 6700 | loss 0.5674 | grad 2.8781 | lr 1.54e-05 | GPU 0.80 GB
2026-04-11 21:15:37 | DEBUG    | coda_biattn_context |   batch 6750 | loss 0.7412 | grad 3.0252 | lr 1.56e-05 | GPU 0.81 GB
2026-04-11 21:15:44 | DEBUG    | coda_biattn_context |   batch 6800 | loss 0.7106 | grad 3.1928 | lr 1.57e-05 | GPU 0.80 GB
2026-04-11 21:15:52 | DEBUG    | coda_biattn_context |   batch 6850 | loss 0.7803 | grad 3.0482 | lr 1.59e-05 | GPU 0.80 GB
2026-04-11 21:16:00 | DEBUG    | coda_biattn_context |   batch 6900 | loss 0.6045 | grad 3.3633 | lr 1.61e-05 | GPU 0.80 GB
2026-04-11 21:16:08 | DEBUG    | coda_biattn_context |   batch 6950 | loss 0.4328 | grad 2.5860 | lr 1.62e-05 | GPU 0.80 GB
2026-04-11 21:16:16 | DEBUG    | coda_biattn_context |   batch 7000 | loss 0.6123 | grad 2.8336 | lr 1.64e-05 | GPU 0.81 GB
2026-04-11 21:16:24 | DEBUG    | coda_biattn_context |   batch 7050 | loss 0.5473 | grad 2.6489 | lr 1.66e-05 | GPU 0.80 GB
2026-04-11 21:16:32 | DEBUG    | coda_biattn_context |   batch 7100 | loss 0.9973 | grad 2.3992 | lr 1.67e-05 | GPU 0.80 GB
2026-04-11 21:16:39 | DEBUG    | coda_biattn_context |   batch 7150 | loss 0.8631 | grad 3.1767 | lr 1.69e-05 | GPU 0.80 GB
2026-04-11 21:16:47 | DEBUG    | coda_biattn_context |   batch 7200 | loss 0.5341 | grad 2.4676 | lr 1.71e-05 | GPU 0.80 GB
2026-04-11 21:16:55 | DEBUG    | coda_biattn_context |   batch 7250 | loss 0.7004 | grad 3.6484 | lr 1.73e-05 | GPU 0.80 GB
2026-04-11 21:17:03 | DEBUG    | coda_biattn_context |   batch 7300 | loss 0.6927 | grad 3.1843 | lr 1.74e-05 | GPU 0.81 GB
2026-04-11 21:17:11 | DEBUG    | coda_biattn_context |   batch 7350 | loss 0.7789 | grad 3.6111 | lr 1.76e-05 | GPU 0.80 GB
2026-04-11 21:17:19 | DEBUG    | coda_biattn_context |   batch 7400 | loss 0.9045 | grad 2.9672 | lr 1.78e-05 | GPU 0.80 GB
2026-04-11 21:17:27 | DEBUG    | coda_biattn_context |   batch 7450 | loss 0.7436 | grad 3.3660 | lr 1.80e-05 | GPU 0.80 GB
2026-04-11 21:17:35 | DEBUG    | coda_biattn_context |   batch 7500 | loss 0.9700 | grad 2.6030 | lr 1.81e-05 | GPU 0.80 GB
2026-04-11 21:17:42 | DEBUG    | coda_biattn_context |   batch 7550 | loss 0.6727 | grad 2.7530 | lr 1.83e-05 | GPU 0.80 GB
2026-04-11 21:17:50 | DEBUG    | coda_biattn_context |   batch 7600 | loss 0.9571 | grad 3.3774 | lr 1.85e-05 | GPU 0.80 GB
2026-04-11 21:17:58 | DEBUG    | coda_biattn_context |   batch 7650 | loss 1.0971 | grad 3.1846 | lr 1.87e-05 | GPU 0.80 GB
2026-04-11 21:18:06 | DEBUG    | coda_biattn_context |   batch 7700 | loss 0.8792 | grad 2.9712 | lr 1.89e-05 | GPU 0.80 GB
2026-04-11 21:18:14 | DEBUG    | coda_biattn_context |   batch 7750 | loss 0.7800 | grad 2.4942 | lr 1.90e-05 | GPU 0.80 GB
2026-04-11 21:18:22 | DEBUG    | coda_biattn_context |   batch 7800 | loss 0.6579 | grad 3.0316 | lr 1.92e-05 | GPU 0.80 GB
2026-04-11 21:18:30 | DEBUG    | coda_biattn_context |   batch 7850 | loss 0.3361 | grad 2.3722 | lr 1.94e-05 | GPU 0.80 GB
2026-04-11 21:18:38 | DEBUG    | coda_biattn_context |   batch 7900 | loss 0.6282 | grad 2.5947 | lr 1.96e-05 | GPU 0.80 GB
2026-04-11 21:18:46 | DEBUG    | coda_biattn_context |   batch 7950 | loss 0.5953 | grad 3.1695 | lr 1.98e-05 | GPU 0.80 GB
2026-04-11 21:18:55 | DEBUG    | coda_biattn_context |   batch 8000 | loss 0.4644 | grad 3.2608 | lr 2.00e-05 | GPU 0.81 GB
2026-04-11 21:19:03 | DEBUG    | coda_biattn_context |   batch 8050 | loss 0.9374 | grad 3.3198 | lr 2.02e-05 | GPU 0.80 GB
2026-04-11 21:19:11 | DEBUG    | coda_biattn_context |   batch 8100 | loss 0.5390 | grad 3.4498 | lr 2.04e-05 | GPU 0.80 GB
