2026-04-11 17:52:35 | INFO     | coda_uniattn | Log file: C:\Users\Meric\Desktop\VKR\Code\results\logs\2026-04-11_17-52-35_coda_uniattn.log
2026-04-11 17:52:35 | INFO     | coda_uniattn | ============================================================
2026-04-11 17:52:35 | INFO     | coda_uniattn | Training: CODA-UNIATTN
2026-04-11 17:52:35 | INFO     | coda_uniattn | Device: cuda | Seed: 42 | Dry run: False
2026-04-11 17:52:35 | INFO     | coda_uniattn | Epochs: 30 | Batch: 16 | LR: 1.00e-04
2026-04-11 17:52:35 | INFO     | coda_uniattn | Freeze BERT: True | Prosodic: True | AMP: True
2026-04-11 17:52:35 | INFO     | coda_uniattn | ============================================================
2026-04-11 17:52:39 | INFO     | coda_uniattn | Dataset: 179590 samples
2026-04-11 17:56:08 | DEBUG    | coda_uniattn |   batch 2600 | loss 1.1876 | grad 1.8891 | lr 5.78e-06 | GPU 0.77 GB
2026-04-11 17:56:10 | DEBUG    | coda_uniattn |   batch 2650 | loss 1.0592 | grad 1.7196 | lr 5.85e-06 | GPU 0.77 GB
2026-04-11 17:56:11 | DEBUG    | coda_uniattn |   batch 2700 | loss 1.2979 | grad 1.9614 | lr 5.92e-06 | GPU 0.77 GB
2026-04-11 17:56:13 | DEBUG    | coda_uniattn |   batch 2750 | loss 0.8790 | grad 1.9095 | lr 5.99e-06 | GPU 0.77 GB
2026-04-11 17:56:14 | DEBUG    | coda_uniattn |   batch 2800 | loss 1.4168 | grad 1.7187 | lr 6.06e-06 | GPU 0.77 GB
2026-04-11 17:56:16 | DEBUG    | coda_uniattn |   batch 2850 | loss 0.9282 | grad 1.8445 | lr 6.13e-06 | GPU 0.77 GB
2026-04-11 17:56:17 | DEBUG    | coda_uniattn |   batch 2900 | loss 1.4370 | grad 1.8184 | lr 6.21e-06 | GPU 0.77 GB
2026-04-11 17:56:19 | DEBUG    | coda_uniattn |   batch 2950 | loss 0.6908 | grad 1.8882 | lr 6.29e-06 | GPU 0.77 GB
2026-04-11 17:56:20 | DEBUG    | coda_uniattn |   batch 3000 | loss 1.1340 | grad 1.8748 | lr 6.36e-06 | GPU 0.78 GB
2026-04-11 17:56:22 | DEBUG    | coda_uniattn |   batch 3050 | loss 0.9257 | grad 1.9938 | lr 6.44e-06 | GPU 0.77 GB
2026-04-11 17:56:23 | DEBUG    | coda_uniattn |   batch 3100 | loss 0.9465 | grad 1.7020 | lr 6.52e-06 | GPU 0.77 GB
2026-04-11 17:56:25 | DEBUG    | coda_uniattn |   batch 3150 | loss 0.8723 | grad 1.9240 | lr 6.60e-06 | GPU 0.78 GB
2026-04-11 17:56:26 | DEBUG    | coda_uniattn |   batch 3200 | loss 1.4227 | grad 2.1444 | lr 6.69e-06 | GPU 0.77 GB
2026-04-11 17:56:28 | DEBUG    | coda_uniattn |   batch 3250 | loss 1.2088 | grad 1.8581 | lr 6.77e-06 | GPU 0.78 GB
2026-04-11 17:56:30 | DEBUG    | coda_uniattn |   batch 3300 | loss 0.9225 | grad 1.9081 | lr 6.85e-06 | GPU 0.77 GB
2026-04-11 17:56:31 | DEBUG    | coda_uniattn |   batch 3350 | loss 1.1293 | grad 1.7718 | lr 6.94e-06 | GPU 0.77 GB
2026-04-11 17:56:33 | DEBUG    | coda_uniattn |   batch 3400 | loss 1.2765 | grad 1.8994 | lr 7.03e-06 | GPU 0.77 GB
2026-04-11 17:56:34 | DEBUG    | coda_uniattn |   batch 3450 | loss 0.7075 | grad 1.8329 | lr 7.12e-06 | GPU 0.78 GB
2026-04-11 17:56:36 | DEBUG    | coda_uniattn |   batch 3500 | loss 0.7043 | grad 2.0013 | lr 7.21e-06 | GPU 0.77 GB
2026-04-11 17:56:37 | DEBUG    | coda_uniattn |   batch 3550 | loss 0.7289 | grad 1.8948 | lr 7.30e-06 | GPU 0.77 GB
2026-04-11 17:56:39 | DEBUG    | coda_uniattn |   batch 3600 | loss 0.8285 | grad 1.9751 | lr 7.39e-06 | GPU 0.77 GB
2026-04-11 17:56:40 | DEBUG    | coda_uniattn |   batch 3650 | loss 1.1909 | grad 2.0032 | lr 7.48e-06 | GPU 0.78 GB
2026-04-11 17:56:42 | DEBUG    | coda_uniattn |   batch 3700 | loss 0.7855 | grad 2.0035 | lr 7.58e-06 | GPU 0.78 GB
2026-04-11 17:56:43 | DEBUG    | coda_uniattn |   batch 3750 | loss 0.9900 | grad 2.0123 | lr 7.68e-06 | GPU 0.77 GB
2026-04-11 17:56:45 | DEBUG    | coda_uniattn |   batch 3800 | loss 0.7198 | grad 2.0708 | lr 7.77e-06 | GPU 0.77 GB
2026-04-11 17:56:46 | DEBUG    | coda_uniattn |   batch 3850 | loss 1.3756 | grad 1.9143 | lr 7.87e-06 | GPU 0.77 GB
2026-04-11 17:56:48 | DEBUG    | coda_uniattn |   batch 3900 | loss 0.7832 | grad 1.9269 | lr 7.97e-06 | GPU 0.77 GB
2026-04-11 17:56:50 | DEBUG    | coda_uniattn |   batch 3950 | loss 0.9841 | grad 1.9072 | lr 8.07e-06 | GPU 0.78 GB
2026-04-11 17:56:51 | DEBUG    | coda_uniattn |   batch 4000 | loss 1.1063 | grad 2.1106 | lr 8.17e-06 | GPU 0.78 GB
2026-04-11 17:56:53 | DEBUG    | coda_uniattn |   batch 4050 | loss 0.8705 | grad 1.9774 | lr 8.28e-06 | GPU 0.77 GB
2026-04-11 17:56:54 | DEBUG    | coda_uniattn |   batch 4100 | loss 1.0437 | grad 1.9572 | lr 8.38e-06 | GPU 0.77 GB
2026-04-11 17:56:56 | DEBUG    | coda_uniattn |   batch 4150 | loss 0.9258 | grad 1.9931 | lr 8.49e-06 | GPU 0.77 GB
2026-04-11 17:56:57 | DEBUG    | coda_uniattn |   batch 4200 | loss 1.1870 | grad 1.8470 | lr 8.60e-06 | GPU 0.77 GB
2026-04-11 17:56:59 | DEBUG    | coda_uniattn |   batch 4250 | loss 0.9304 | grad 1.8173 | lr 8.70e-06 | GPU 0.78 GB
