2026-04-12 02:51:31 | INFO     | coda_full | Log file: C:\Users\Meric\Desktop\VKR\Code\results\logs\2026-04-12_02-51-31_coda_full.log
2026-04-12 02:51:31 | INFO     | coda_full | ============================================================
2026-04-12 02:51:31 | INFO     | coda_full | Training: CODA-FULL
2026-04-12 02:51:31 | INFO     | coda_full | Device: cuda | Seed: 42 | Dry run: False
2026-04-12 02:51:31 | INFO     | coda_full | Epochs: 30 | Batch: 16 | LR: 1.00e-04
2026-04-12 02:51:31 | INFO     | coda_full | Freeze BERT: True | Prosodic: True | AMP: True
2026-04-12 02:51:31 | INFO     | coda_full | ============================================================
2026-04-12 02:51:35 | INFO     | coda_full | Dataset: 179590 samples
2026-04-12 03:04:59 | DEBUG    | coda_full |   batch 4150 | loss 1.0058 | grad 2.5241 | lr 8.49e-06 | GPU 0.80 GB
2026-04-12 03:05:06 | DEBUG    | coda_full |   batch 4200 | loss 0.6880 | grad 2.3005 | lr 8.60e-06 | GPU 0.80 GB
2026-04-12 03:05:14 | DEBUG    | coda_full |   batch 4250 | loss 1.3053 | grad 2.2234 | lr 8.70e-06 | GPU 0.80 GB
2026-04-12 03:05:22 | DEBUG    | coda_full |   batch 4300 | loss 1.0229 | grad 2.9947 | lr 8.81e-06 | GPU 0.80 GB
2026-04-12 03:05:31 | DEBUG    | coda_full |   batch 4350 | loss 0.7677 | grad 1.8887 | lr 8.92e-06 | GPU 0.81 GB
2026-04-12 03:05:39 | DEBUG    | coda_full |   batch 4400 | loss 0.6832 | grad 2.7404 | lr 9.04e-06 | GPU 0.80 GB
2026-04-12 03:05:47 | DEBUG    | coda_full |   batch 4450 | loss 0.7813 | grad 2.1850 | lr 9.15e-06 | GPU 0.81 GB
2026-04-12 03:05:55 | DEBUG    | coda_full |   batch 4500 | loss 0.9689 | grad 2.9569 | lr 9.26e-06 | GPU 0.81 GB
2026-04-12 03:06:03 | DEBUG    | coda_full |   batch 4550 | loss 0.7169 | grad 2.9528 | lr 9.38e-06 | GPU 0.81 GB
2026-04-12 03:06:11 | DEBUG    | coda_full |   batch 4600 | loss 0.4313 | grad 2.7759 | lr 9.49e-06 | GPU 0.80 GB
2026-04-12 03:06:20 | DEBUG    | coda_full |   batch 4650 | loss 0.6699 | grad 2.7699 | lr 9.61e-06 | GPU 0.81 GB
2026-04-12 03:06:29 | DEBUG    | coda_full |   batch 4700 | loss 0.8439 | grad 3.5942 | lr 9.73e-06 | GPU 0.80 GB
2026-04-12 03:06:37 | DEBUG    | coda_full |   batch 4750 | loss 0.9211 | grad 2.7806 | lr 9.85e-06 | GPU 0.80 GB
2026-04-12 03:06:45 | DEBUG    | coda_full |   batch 4800 | loss 0.7024 | grad 3.2068 | lr 9.97e-06 | GPU 0.80 GB
2026-04-12 03:06:53 | DEBUG    | coda_full |   batch 4850 | loss 1.1757 | grad 3.0817 | lr 1.01e-05 | GPU 0.80 GB
