2026-04-11 19:20:57 | INFO     | coda_biattn | Log file: C:\Users\Meric\Desktop\VKR\Code\results\logs\2026-04-11_19-20-57_coda_biattn.log
2026-04-11 19:20:57 | INFO     | coda_biattn | ============================================================
2026-04-11 19:20:57 | INFO     | coda_biattn | Training: CODA-BIATTN
2026-04-11 19:20:57 | INFO     | coda_biattn | Device: cuda | Seed: 42 | Dry run: False
2026-04-11 19:20:57 | INFO     | coda_biattn | Epochs: 30 | Batch: 16 | LR: 1.00e-04
2026-04-11 19:20:57 | INFO     | coda_biattn | Freeze BERT: True | Prosodic: True | AMP: True
2026-04-11 19:20:57 | INFO     | coda_biattn | ============================================================
2026-04-11 19:21:01 | INFO     | coda_biattn | Dataset: 179590 samples
2026-04-11 19:24:37 | DEBUG    | coda_biattn |   batch 2450 | loss 0.7943 | grad 1.6954 | lr 5.58e-06 | GPU 0.79 GB
2026-04-11 19:24:38 | DEBUG    | coda_biattn |   batch 2500 | loss 1.4235 | grad 1.6621 | lr 5.65e-06 | GPU 0.79 GB
2026-04-11 19:24:40 | DEBUG    | coda_biattn |   batch 2550 | loss 1.2606 | grad 1.6444 | lr 5.71e-06 | GPU 0.79 GB
2026-04-11 19:24:42 | DEBUG    | coda_biattn |   batch 2600 | loss 1.7920 | grad 1.6540 | lr 5.78e-06 | GPU 0.78 GB
2026-04-11 19:24:44 | DEBUG    | coda_biattn |   batch 2650 | loss 1.7827 | grad 1.6298 | lr 5.85e-06 | GPU 0.79 GB
2026-04-11 19:24:46 | DEBUG    | coda_biattn |   batch 2700 | loss 0.8869 | grad 1.6684 | lr 5.92e-06 | GPU 0.79 GB
2026-04-11 19:24:47 | DEBUG    | coda_biattn |   batch 2750 | loss 1.4871 | grad 1.7625 | lr 5.99e-06 | GPU 0.78 GB
2026-04-11 19:24:49 | DEBUG    | coda_biattn |   batch 2800 | loss 1.1069 | grad 1.7098 | lr 6.06e-06 | GPU 0.78 GB
2026-04-11 19:24:51 | DEBUG    | coda_biattn |   batch 2850 | loss 1.6209 | grad 1.7252 | lr 6.13e-06 | GPU 0.79 GB
2026-04-11 19:24:53 | DEBUG    | coda_biattn |   batch 2900 | loss 1.4732 | grad 1.7388 | lr 6.21e-06 | GPU 0.79 GB
2026-04-11 19:24:55 | DEBUG    | coda_biattn |   batch 2950 | loss 1.2948 | grad 1.8239 | lr 6.29e-06 | GPU 0.79 GB
2026-04-11 19:24:56 | DEBUG    | coda_biattn |   batch 3000 | loss 1.1110 | grad 1.6527 | lr 6.36e-06 | GPU 0.79 GB
2026-04-11 19:24:58 | DEBUG    | coda_biattn |   batch 3050 | loss 1.2059 | grad 1.6887 | lr 6.44e-06 | GPU 0.79 GB
2026-04-11 19:25:00 | DEBUG    | coda_biattn |   batch 3100 | loss 1.2761 | grad 1.7159 | lr 6.52e-06 | GPU 0.79 GB
